GameID,AwayTeam,AwayTeamScore,HomeTeam,HomeTeamScore
401170104,261,61,179,59
401170985,261,66,2083,63
401170986,104,47,261,62
401168458,261,70,2599,68
401168197,261,55,258,61
401170987,2115,49,261,81
401183489,2520,72,261,67
401170988,[None],44,261,93
401170989,261,52,43,65
401169454,261,73,2132,82
401170990,119,38,261,55
401170991,2430,54,261,53
401170426,288,63,261,86
401170211,45,51,261,76
401170992,261,77,159,68
401170979,2619,81,261,77
401170993,261,74,2378,50
401170845,261,72,2066,53
401170873,42,57,261,74
401170921,261,59,311,57
401170940,2349,62,261,92
401170962,261,56,160,43
401170994,261,86,399,75
401170923,311,52,261,77
401170878,261,69,42,68
401170964,160,50,261,74
401170853,2066,48,261,76
401170982,261,63,2619,54
401170995,2378,66,261,64
401170967,43,74,2619,69
401168442,2619,57,2550,74
401170968,[None],44,2619,91
401170969,2619,68,357,63
401170970,292,58,2619,69
401170971,2449,57,2619,64
401170972,2619,87,2681,84
401170973,2619,61,48,75
401170974,2363,47,2619,65
401170975,225,63,2619,79
401170976,2619,63,2275,71
401168430,2619,78,2507,82
401168264,2619,44,258,56
401170977,2619,77,44,74
401170978,2450,65,2619,81
401170917,2619,73,311,52
401170959,160,48,2619,73
401170872,2619,65,42,68
401170980,399,62,2619,70
401170847,2066,83,2619,79
401170941,2619,84,2349,76
401170981,2378,63,2619,74
401170943,2349,70,2619,77
401170963,2619,64,160,81
401170852,2619,75,2066,70
401170926,311,46,2619,54
401170858,42,74,2115,59
401171546,2737,67,42,57
401170859,42,62,2368,51
401170860,[None],79,42,86
401170861,42,50,2473,60
401170862,[None],63,42,78
401170863,2771,62,42,58
401170011,42,58,2567,90
401170864,42,55,326,69
401170865,2597,84,42,78
401170866,2529,79,42,62
401170867,2681,63,42,71
401170868,172,76,42,80
401166135,42,67,77,66
401170869,42,68,189,81
401170870,160,52,42,61
401170871,42,80,2349,68
401170874,2378,69,42,60
401170875,42,62,399,48
401170849,2066,57,42,73
401170876,42,55,311,49
401170877,42,59,2378,70
401170879,399,60,42,66
401170880,2349,74,42,67
401170881,42,63,160,67
401170855,42,75,2066,74
401171913,2329,74,399,70
401171914,2099,57,399,83
401171915,399,51,2363,57
401171916,182,52,399,78
401171917,399,69,2514,86
401171918,2529,65,399,72
401171525,2506,60,399,65
401171919,44,64,399,68
401171920,43,61,399,52
401171921,399,64,2083,65
401168244,399,51,103,72
401171922,315,80,399,84
401168465,399,57,2599,85
401171923,399,70,2405,72
401171924,399,67,171,66
401170842,399,74,2066,62
401170919,311,70,399,76
401170960,399,76,160,73
401170939,2349,75,399,101
401171925,399,67,2378,63
401170850,2066,49,399,62
401170925,399,66,311,60
401171926,2378,69,399,50
401170966,160,68,399,56
401180733,[None],46,2378,134
401170347,2378,65,526,61
401180735,117,57,2378,79
401180734,[None],48,2378,60
401169840,2378,50,99,77
401172590,2199,62,2378,45
401173042,2447,82,2378,72
401171778,2182,60,2378,85
401172216,2378,61,44,85
401176434,2598,63,2378,60
401172428,2378,71,119,77
401175692,2154,77,2378,86
401168390,2378,55,46,81
401170193,2378,53,2244,69
401180736,[None],57,2378,89
401170938,2349,86,2378,73
401170843,2378,75,2066,79
401170961,2378,60,160,65
401170922,311,53,2378,63
401170944,2378,60,2349,50
401170965,160,59,2378,65
401170948,[None],29,160,93
401170949,107,83,160,87
401168457,160,61,2599,74
401170950,160,70,104,84
401170951,160,77,2115,63
401170952,160,71,256,78
401170953,2803,76,160,87
401170954,160,69,2229,70
401170955,[None],37,160,91
401170956,160,67,2514,75
401170957,160,64,2368,56
401169984,160,62,41,88
401170958,159,56,160,70
401170918,311,51,160,57
401170848,160,77,2066,69
401170942,160,75,2349,77
401170100,2349,64,113,79
401176427,2349,87,112358,74
401166055,2349,56,194,76
401180737,[None],45,2349,88
401170360,294,80,2349,78
401170930,2771,60,2349,58
401170931,159,80,2349,75
401170932,225,63,2349,75
401170933,2115,71,2349,73
401170934,2529,89,2349,86
401170935,2597,63,2349,94
401170410,2349,72,2885,66
401170936,104,74,2349,62
401170937,2349,81,2352,93
401166133,2349,60,130,86
401170844,2066,66,2349,85
401170920,2349,98,311,104
401170924,311,63,2349,71
401170854,2349,84,2066,86
401170887,2771,64,311,84
401170888,311,46,108,67
401170889,311,62,2501,71
401170587,311,53,264,72
401170890,[None],50,311,90
401168224,311,26,258,46
401169981,311,40,41,64
401170891,311,63,111,78
401170892,311,66,2115,64
401170913,159,77,311,44
401170914,2514,81,311,61
401170189,311,53,113,74
401170915,311,51,62,91
401170916,171,72,311,75
401170846,2066,63,311,86
401170851,311,82,2066,75
401170833,2066,64,172,84
401166054,2066,47,127,100
401170834,2066,63,171,75
401170835,2529,72,2066,76
401170370,2066,77,2885,75
401170836,349,73,2066,88
401181713,[None],69,2066,90
401170837,2066,65,2352,77
401170838,2142,82,2066,74
401170839,104,79,2066,84
401170840,2066,55,2754,73
401168266,2066,53,221,79
401170841,[None],45,2066,98
401170829,2011,56,248,84
401169446,252,72,248,71
401170828,248,97,242,89
401169449,248,66,2483,78
401169998,2277,73,248,112
401169999,326,60,248,68
401169459,248,76,2579,56
401170000,250,63,248,71
401169464,197,61,248,55
401170830,2638,57,248,77
401169466,2501,56,248,81
401182617,59,59,248,70
401182623,264,71,248,75
401169516,2116,63,248,78
